Class	Tweet
OTHER	#FF Happy Friday to some of our new followers! @Siriasly @jheanley @ThatMattT @JediLaura @psypsoft @PictureChanging @mandrill
OTHER	#NameAnAmazinGBand Mandrill
OTHER	#video: Outside this Universe The Rainbow Mandrills video Christmas Mos Nicolae Original Song Santa Mandrill http://dlvr.it/3FSdp8
OTHER	a latten is a mandrill: gun-shy and numbing
OTHER	a mandrill is a seedtime: crackbrained, not slicker
OTHER	Adicionei como favorito um vídeo @YouTube de @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	Adicionei como favorito um vídeo @YouTube de @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	al carajo el mandrill!!!!!!!!!oleoleoleoleoeleoleoeeoleoeleoleole
OTHER	Ala mandrill!!!jajajaja a mamarla hoy vosotrosss!!!
OTHER	Also, don't get into a mandrill fight with Sam Sykes after 2AM. #wordstothewise He will make you google things you regret, forever.
OTHER	An hispanic mandrill gets raucous original save his occupation near high entertainment industry lodge. in back o: .hru
OTHER	And looks like a fat mandrill
OTHER	Anyway, yeah. That's a thing that's going on. Reincarnated mandrill-men. Expect nothing less from Sam Sykes.
OTHER	Arin did the spark mandrill trick I was wondering if he would :')
OTHER	Audio: Mandrill - Happy Beat This is a funk song by a band who liked to wear hats and has a banjo in it. How... http://tmblr.co/Z3ocQyj_JGWB
OTHER	Cannot believe I am the only one in a @mandrill 2012 #tweetfleet t-shirt at the meet!
OTHER	Chill Penguin and Spark Mandrill down. #megamanx
OTHER	Cuando pase el Bafici y se hayan perdido Mandrill, Mirageman, Mujer metralleta y Kiltro a mí no me lloren: http://www.youtube.com/watch?v=x-9CUFDUM_c …
OTHER	De los creadores de #Kiltro #Mirageman y #Mandrill Ahora atacan con #TráiganmeLaCabezaDeLaMujerMetralleta TR http://youtu.be/RHqozwN1ZYI
OTHER	Did this producer sample Mandrill!? I KNOWWWWWWWW you ain't pay for this! BYE SON!
OTHER	Don't knock asshats. Philip Treacy's new line of Mandrill Derrière Fascinators is sublime.
OTHER	Don't know how to name your novel? I say, call it PURPLE MANDRILL COVERED IN FRECKLES: http://www.kseniaanske.com/blog/2013/4/8/naming-your-novel.html …
OTHER	E essa do Mega Man X (Spark Mandrill) - Muito show! http://fb.me/xquh7u1n
OTHER	Easiest Mega Man boss fights ever: Spark Mandrill, Junk Man, Spring Man, and Cut Man.
OTHER	Esa tambien me gusta mucho *Escuchando Spark Mandrill por Mega Man X #nowplaying #musicmonday http://grooveshark.com/s/Spark+Mandrill/2NjwQv?src=5 … vía @grooveshark
OTHER	esta cancion sale cuando le disparan a Mandrill en la cabeza ( muere aparentemente ) y salen (@YouTube - http://youtu.be/6B6GwllebrM?a )
OTHER	Fencewalk is STOOPID RT @MISSMYA #NameAnAmazingBand MANDRILL!
OTHER	Fernando Vargas MANDRILL MEXICAN PRIDE MMA
OTHER	Get it get it get it get it goddamn! ? Can You Get It (Suzie Caesar) – Mandrill http://spoti.fi/TlEZyp #Spotify
OTHER	Git It All - Mandrill - Listen Now http://bit.ly/sylJDa
OTHER	Git It All - Mandrill http://rdo.to/KZKO #nowplaying #listenlive
OTHER	Gooooooolllllll Del Mandrill
OTHER	Gostei de um vídeo @YouTube de @franciscodanrl1 http://youtu.be/Gv98_b1EOIM?a Megaman X Gameplay Parte #5 Spark Mandrill
OTHER	Gostei de um vídeo @YouTube de @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	Gostei de um vídeo @YouTube de @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	Gostei de um vídeo @YouTube de @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	Gostei de um vídeo @YouTube de @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	Gostei de um vídeo @YouTube de @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	Gostei de um vídeo @YouTube de @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	Guess the good mandrill's back! Rafiki is the name. ??
OTHER	HOY a las 12.35 h No se pierdan MANDRILL de Ernesto Díaz http://j.mp/YkekjO en el @recoletamall 15 #BAFICI
OTHER	I like pink butts and I cannot lie... Male #mandrill showing off his assets. @ Congo Gorilla Forest http://instagram.com/p/YaUp6vNfH_/
OTHER	I liked a @YouTube video from @smoothmcgroove http://youtu.be/hyx9-kWYjDI?a Megaman X - Spark Mandrill Acapella
OTHER	I love the part in Lion King when the mandrill beats the shit out of the hyenas hahahahaha ????
OTHER	I'm a Mandrill... Of course my inner animal has great hair likes to show off his toosh... #spiritanimal http://bit.ly/wrt54R
OTHER	I'm following @lostbhoy, @mandrill, @Girobabies, @bazzabhoy87, @Linda_Wilsonn and 2 others on @spreaker http://www.spreaker.com/user/joebone
OTHER	ich brauch'n einen chillig gejammten funky mother auf'n freitag abend :3 http://www.youtube.com/watch?v=i6Z_bkj5BBw … mandrill = musikalische götter.
OTHER	Izasata Mandrill-Striker of Eldnoe rolls in to A Whirlpool and is overran by A Big Mind Flayer.
OTHER	Jammin as I get ready to head out in a bit. ? Fencewalk – Mandrill http://spoti.fi/O2MhpA #Spotify
OTHER	Jayne Mandrill & Christopher Bream #animalcelebrities
OTHER	Kaminsky manages toward exasperate an bugging in company with patrovita's reduce to order ruff mandrill rocca he:
OTHER	Le mandrill se casse #instantchiale
OTHER	Mandrill - Aspiration Flame
OTHER	Mandrill - Mango Meat http://www.youtube.com/watch?v=3ohVxEaVQvI …
OTHER	Mandrill Get It All 1973: http://youtu.be/h9FI_ZoGFAQ via @youtube funky gift from 1973!
OTHER	Mandrill on Classic Soul Train: http://youtu.be/5qA4g3v1Uwc via @youtube
OTHER	Meet new PUA artist "Mandrill." He's a monkey
OTHER	Mega Man X's Spark Mandrill Theme, In An Amazing A Capella: The spectacularly-bearded Smooth McGroove... http://bit.ly/XRoHj8 #kotaku
OTHER	Megaman X - Spark Mandrill Acapella: http://youtu.be/hyx9-kWYjDI @youtube????
OTHER	Megaman X - Spark Mandrill Acapella: http://youtu.be/hyx9-kWYjDI THIS IS AMAZING HOLY SHIT
OTHER	Megaman X - Spark Mandrill Acapella: http://youtu.be/hyx9-kWYjDI @youtube????
OTHER	Megaman X - Spark Mandrill Acapella: http://youtu.be/hyx9-kWYjDI @youtube?????????????????
OTHER	Megaman X fans, I grace you with an incredible Spark Mandrill a capella. http://www.youtube.com/watch?v=hyx9-kWYjDI …
OTHER	My squad: half-Mandrill, half-Mandela/my band roll 70 deep just like Fela...
OTHER	Nieuw in de verkoop bij Hoekstra&vanEck Mandrill 20, #Wognum €175.000 kosten koper http://bit.ly/17YwI8V
OTHER	One Reason is out! http://paper.li/mandrill/1354033093 … ? Top stories today via @Sifteo @BlackMajic_
OTHER	Peter Mandrill Son #animalcelebrities
OTHER	Please help my friend Kumba, the Mandrill, fix his broken leg. http://www.indiegogo.com search Kumba
OTHER	Que caritas de Gilipollas se le quedaron a los jugadores del Mandrill jajaja
OTHER	Raj shahrukh shogun is an immature mandrill silent endowed with life despite his blood brother which wishes unti: .XzW
OTHER	Silk by Mandrill: http://youtu.be/rtUYx7IF6JM via @youtube
OTHER	Spark mandrill theme #nerdatwork
OTHER	Spark Mandrill, toma Domecq!
OTHER	Stand by Your Mandrill #AnimalSongs
OTHER	Straight a mandrill as looses voluptuous jump at for his pair may discover fabrication problems.:
OTHER	Stukkie stekst geschreven over muziek voor de minderheid en een Public Enemy original http://www.stpaul.nl/2013/04/mandrill-two-sisters-of-mystery/ …
OTHER	Symphonic Revolutions - Mandrill http://rdo.to/WSJR #nowplaying #listenlive
OTHER	TAQUIPARIU @jurandirfilho olha isso: Mega Man X - Spark Mandrill Theme Acapella - http://www.youtube.com/watch?v=hyx9-kWYjDI …
OTHER	The @TBobbyMitchell 7s cartoon character is live now in RFU online content. Spot him and win big prizes #7shunt #mandrill
OTHER	The #drill & #mandrill were originally classed with #baboons, but have since been put into their own genus, 'Mandrillus'.
OTHER	The two songs in my head went like this: "Devil in a new dress" for the first half,"Can you get it" by Mandrill for the second half.
OTHER	this little girl is a mandrill. Milwaukee County Zoo, March, 2013. http://twitpic.com/cawbaj
OTHER	Today's music choice: heavy metal cover of Mega Man X's Spark Mandrill theme. What the hell is a Mandrill? http://www.youtube.com/watch?v=XxC0VjiUQAQ …
OTHER	Ushindi the mandrill can't get enough of the snow! Especially when it's covered in fruit + sunflower seeds: http://ow.ly/hYjcq #FPZoo
OTHER	Vamos atleti !!! Puta mandrill !!!!
OTHER	Why Are Monkey Butts So Colorful?: Mandrill Wikimedia CommonsPlus, the best colored monkey but... http://bit.ly/ZGBN5d #PopularScience
OTHER	You can now experience the thrills of classic PC gaming with Mandrill Maze. http://mandrillmaze.tumblr.com/ Why? Ehh, I don't know.
OTHER	?????????????Mandrill?75????????Oddisee?????????B3?Silk?????????????????????1????????????????Mandrill / Solid http://bit.ly/mTRifR
OTHER	???????????????????????????????B1???80???????????????????????B4???????Mandrill / Getting In The Mood http://bit.ly/9y5E3f
OTHER	????Nottz feat Pete Rock / Turn It Up???????????????/???????????Mandrill / Mango Meat http://bit.ly/VO4XG8
APP	[blog] Using Nullmailer and Mandrill for your Ubuntu Linux server outboud mail: http://bit.ly/ZjHOk7 #plone
APP	[blog] Using Postfix and free Mandrill email service for SMTP on Ubuntu Linux server: http://bit.ly/11HmDZz #plone
APP	@aalbertson There are several reasons emails go to spam. Mind submitting a request at http://help.mandrill.com with additional details?
APP	@adrienneleigh I just switched it over to Mandrill, let's see if that improve the speed at which the emails are sent.
APP	@ankeshk +1 to @mailchimp We use MailChimp for marketing emails and their Mandrill app for txn emails... @sampad @abhijeetmk @hiway
APP	@biggoldring That error may occur if unsupported auth method used. Can you email us via http://help.mandrill.com so we can get details?
APP	@BlueHayes mind sending us some details about your account via http://help.mandrill.com ? Things look correct here but we may need some detail
APP	@cemsisman It can vary, but if sending really low volumes, may not be worth it. Can offer detail - submit request at http://help.mandrill.com
APP	@compactcode Have you checked out Mandrill (@mandrillapp)? It's a transactional email service that runs ... https://longreply.com/r/66c91ea4
APP	@devongovett I'm using Mandrill, but been saving issues with some domains getting blocked with no bounce message. Very hard to debug.
APP	@devongovett Mandrill seems pretty cheap (by Mailchimp)
APP	@dzuelke The option to set up the Mandrill integration is only available to the account owner. If you ar... https://longreply.com/r/5c31a7d7
APP	@dzuelke You should be able to login to the Mandrill account directly by using the same username and pas... https://longreply.com/r/2f58968b
APP	@edocr Can you send an email via http://help.mandrill.com with details about what page is crashing and where you're seeing issues?
APP	@eladlouni Et oui, Mandrill est moins cher, mais idem : ils ne permettent pas de gérer des listes de contact par exemple... @camj59
APP	@eladlouni La raison : Mandrill = Mailchimp, et ils ne veulent pas cannibaliser... @camj59
APP	@eladlouni Mandrill = pas de list management par ex. (ils ne veulent pas tuer Mailchimp qui est 30 à 40 fois plus cher ! cc @camj59
APP	@Elie__ @camj59 jparle de relai SMTP!1 million de mail chez mandrill / mois comparé à 1 million sur lite sendgrid y a pas photo avec mailjet
APP	@Elie__ @camj59 mandrill! Sendgrid! Sans parler d'amazon
APP	@EricCandino They're unfortunately not for sale but drop us a line via http://help.mandrill.com and we'll see what we can find!
APP	@Flo_Rian Not seeing overall sending issues, but we'd want to look at your account - can you submit a request via http://help.mandrill.com ?
APP	@frankioh @sinue mmm no. Mandrill y Sendgrid son + bien p/emails transaccionales. Mailchimp es + bien p/mkt. Admon de listas de dist. y tal.
APP	@gidogeek You can see what we've been working on and get a general idea of our plans at http://blog.mandrill.com Updates posted every Friday!
APP	@guillaumepotier There are several reasons emails go to spam. Mind submitting a request at http://help.mandrill.com with additional details?
APP	@icntmx Yep! We'd be glad to. Would you mind submitting a request at http://help.mandrill.com ?
APP	@JeremyWeir If you submit a request at http://help.mandrill.com , we'll get back to you with some ideas and help brainstorm if needed!
APP	@josscrowcroft Mind submitting a request via http://help.mandrill.com with some additional details so we can help troubleshoot?
APP	@juanpabloaj Official clients have inline doc info but our support team can help with examples too - submit a request http://help.mandrill.com
APP	@kanonbulle No issues delivering to the Hotmail domain currently. Mind submitting a request at http://help.mandrill.com w/ account details?
APP	@kennydude @devongovett Yeah, Mandrill is well worth a look.
APP	@kennyfraser Already cleaned up client & delisted IP, but #enginehosting support can share some alternatives like http://mandrill.com too
APP	@khiger ??? ?????? http://mandrill.com/
APP	@ljharb When I looked last year, Mandrill’s pricing and API was a bit confusing, but it now seems to have straightened out excellently.
APP	@mandrill Realised I did that about 5 seconds after hitting send!
APP	@mandrillapp could you add the defaults (if any) to your SMTP header docs? http://help.mandrill.com/entries/21688056-Using-SMTP-Headers-to-customize-your-messages … Thanks!
APP	@mandrillapp increases scalability ( http://bit.ly/14myVuH ) then decreases pricing ( http://bit.ly/13uJA7s ) #selfinducedcannibalization
APP	@mandrillapp There are some issues with your mandrill npm module. What's your preferred way of documenting bugs and issues?
APP	@mandrillapp tried refreshing, the link (line 184 on the homepage) goes here http://help.mandrill.com/forums/20689696-smtp-integration …
APP	@mandrillapp we cannot even find out the last email sent to, as mandrill page crashes when enquiring
APP	@mandrillapp yeap! that's what I meant throttling - throttling before it gets to Mandrill
APP	@manojranaweera Looks like bulk increasing volume considerably. Our support team can help with tips to manage warmup: http://help.mandrill.com
APP	@marcelosomers @nathansmith FWIW we dumped Postmark in favor of Mandrill. Highly recommended for transactional email.
APP	@masuga Use a service like Mandrill not EE mail.
APP	@matt_pickett if u want to reach out to other Mailchimp/Mandrill users try: http://awe.sm/r0jHw http://awe.sm/eEBZ1
APP	@mattwdelong Mind submitting a request at http://help.mandrill.com with your username and workflow so we can investigate?
APP	@meeiw @henrik @mnordin håller själv på med en för mandrill. Har ni tittat på: https://github.com/aceofspades/sendgrid_postback …
APP	@michaelmior If you're looking to sync unsubscribed addresses with both MailChimp and Mandrill, the best... https://longreply.com/r/1445d273
APP	@nathanbowser Mind submitting a request with details at http://help.mandrill.com ? We're glad to have a look!
APP	@nathansmith For production, Mailchimp seems to have a good transactional email system as well: http://mandrill.com/
APP	@reevesman Mandrill is a transactional e-mail service designed to send customized one-to-one e-mails lik... https://longreply.com/r/8c906b44
APP	@reubenpressman @tinyletter you can use @mandrillapp to do that! http://eepurl.com/oDbf5
APP	@richaskew Can you give us some details about where you're seeing that? Submit a request at http://help.mandrill.com
APP	@rodbegbie You'd probably have more success with @mandrillapp. I'm not the best postman, I get lost very easily.
APP	@rossdeane Mind submitting a request at http://help.mandrill.com with account details if you haven't already? Glad to take a look!
APP	@SanjuBhambhani No issues currently. Mind submitting a request at http://help.mandrill.com with account information and details?
APP	@Sinue depende de lo que necesites, para simple esta mandrill
APP	@Sinue el equivalente de sengrid es mailchip. Mandrill es mas un smtp y tu dices en que url mande la info de las aperturas, click, etc
APP	@Tamiyadd If you haven't already, can you submit a request at http://help.mandrill.com with account details so we can take a look?
APP	@thatmarvin We use a custom algorithm for inlining CSS specifically for Mandrill
APP	@traskjd they ‘migrate’ everything to Mandrill?
APP	@treize2 No general issues. Can you give us more detail of the error(s) you're seeing? Can send more detail via http://help.mandrill.com , too
APP	@variuxdavid Possibly, depends on what you're looking to do exactly. Mind submitting a request at http://help.mandrill.com with more details?
APP	@veroapp Any chance you'll be adding Mandrill support to Vero?
APP	@wesbos Mandrill is good but I've noticed a lack of attention to detail on @MailChimp's secondary properties (i.e. TinyLetter)
APP	#freelance #Jobs Mandrill Template design and strategy implementation by eshuys: Hi there, I have just had... http://bit.ly/Xy4VJw
APP	#HowTo access @mandrillapp by @mailchimp for sending transactional emails with your website http://ow.ly/jJaDg
APP	#InternetMarketing Mandrill Template design and strategy implementation by eshuys: Hi there, I have just h... http://bit.ly/118UsEd
APP	#job #freelance Mandrill Template design and strategy implementation by eshuys: Hi there, I have just had ... http://adf.ly/M0jIC
APP	#Job Integrate Mandrill or Send Grid with Ecommerce Store by kate281: We want to push all transactional e... http://bit.ly/11HtHa9 #php
APP	#job Mandrill Template design and strategy implementation by eshuys: Hi there, I have... http://bit.ly/123HNFe #freelancer #project
APP	#Job Mandrill Webhooks Interspire For Bounce Processing Integration by sanu1255: We have a set up of Inte... http://bit.ly/YH6XHT #php
APP	#jobs PHP Developer with Bullhorn API and Mandrill Experience Needed | Elance Job: We have built a job listing... http://bit.ly/Xg24EK
APP	#jobs4u #jobs Mandrill Customer-Support Geek http://bit.ly/18d2eND #ATL #atlanta #GA
APP	#Mandrill is cool! Would probably be using this to SMTP based approach for sending transactional emails from now on.
APP	#MySql Mandrill Webhooks Interspire For Bounce Processing Integration by sanu1255: We have a set up of Intersp... http://bit.ly/YH7qtF
APP	#Newsletters in #WordPress – Use #SendGrid or #Mandrill by @chrislema http://bit.ly/12R8USh #wp #plugins #plugin
APP	#PhotoshopDesign. Mandrill Template design and strategy implementation by eshuys: Hi there, I have just ha... http://bit.ly/118UsEd
APP	#PHP Integrate Mandrill or Send Grid with Ecommerce Store by kate281: We want to push all transactional email ... http://bit.ly/10wBvdy
APP	#Templates Mandrill Template design and strategy implementation by eshuys: Hi there, I have just had ... http://bit.ly/ZTADzB #Job
APP	#wcmelb question: anyone integrated Mandrill with #BuddyPress ?
APP	#wcmelb question: how to integrate wp_mail() with MailChimp's Mandrill?
APP	After looking at its website, not sure what @MailChimp's Mandrill does, but gosh darn its #logo is nice. #design pic.twitter.com/9OEGuXGJ4T
APP	And we're live! Come hear @levelos talk about using MailChimp and Mandrill for newsletters in #Drupal! http://bit.ly/ZAWI4I
APP	arrays would seem to be a portion of the solution. but its an area I don't know much about http://jsfiddle.net/mandrill/GAwTw/4/ … #javascript
APP	At what point do I give up on @SendGrid and switch over to Mandrill? http://mandrill.com/
APP	Can anyone tell me why this isn't working? http://jsfiddle.net/mandrill/K8EBE/3/ … #javascript #jquery
APP	Check out what we've been up to this week, including a pricing change: http://blog.mandrill.com/friday-notes-2013-03-08.html …
APP	De l'email transactionnel facile et pas cher avec #Mandrill et #Redhen sous #Drupal : http://bit.ly/Z5e5wa - Yep.
APP	For ppl looking to switch from Sendgrid, there's Mandrill from Mailchimp. Up to 12K emails/mo $0. http://mandrill.com (cc: @myShoggoth)
APP	Found this @mandrillapp knowledge base article on inbound email webhooks useful. Works well. Biased recommendation++. http://help.mandrill.com/entries/22092308-what-is-the-format-of-inbound-email-webhooks …
APP	From Coworker about using Mandrill: "I would entrust email handling to a Pokemon".
APP	Guys,buat email wordpress,enakan Sendgrid atau Mandrill?
APP	Holy shit. It’s here. http://www.mandrill.com/
APP	http://mandrill.com Estimated Traffic Net Worth $97,943 http://www.Freewebsitereport.org/www.mandrill.com …
APP	If any #eecms devs out there develop with MAMP Pro, these are settings you need to send emails via Mandrill. https://www.evernote.com/shard/s9/sh/f6377f27-aa93-48f4-a9dc-4b10adfdf43f/dec196d3e531c3dfff1ceaed8a21452c/res/bc74b49c-e724-4b29-abfb-cb82032732c0/skitch.png …
APP	In light of the @sendgrid fiasco it seems like a good day to make an inappropriate sexual joke about the competing service called “ManDrill”
APP	Integrate Mandrill or Send Grid with Ecommerce Store by kate281 http://bit.ly/10JzwTc #freelance
APP	Internet-Marketing Mandrill Template design and strategy implementation by eshuys: Hi there, I have just h... http://bit.ly/ZTBPTB
APP	Jo tak to bylo trapny, no:) https://github.com/fabiancz/mandrill-nette/commit/d3eb22c0ca99651a7abfc380d7b47253bbb4832e … Jdu radsi spat. #dev
APP	Just a quick PSA: http://mandrill.com is awesome if you need email send/receive services for your app.
APP	Just love @mandrillapp transactional email service - http://mandrill.com Sorry @SendGrid and @mailjet #timetomoveon
APP	Looking for Designer Mandrill Webhooks #Interspire For Bounce Processing Integration by… http://goo.gl/fb/6gXM3
APP	Looking into swapping out @Sendgrid with @Mandrill for S?sh emails. Anyone done this? Any words of warning?
APP	Looking to send #transactional (one-to-one, triggered email from apps)? MailChimp's new product, Mandrill... smtp free
APP	Maldito Gmail que fica pedindo login pela web com captcha para email automático de um sistema. Vou testar o Mandrill http://help.mandrill.com/entries/21738467-Using-Mandrill-s-SMTP-integration-with-Web-Frameworks …
APP	mandrill (0.0.3): http://is.gd/LTn1aY Ruby gem for interacting with the Mandrill API.
APP	mandrill 1.0.22: A CLI client and Python API library for the Mandrill email as a service platform. http://bit.ly/160NKQ3
APP	mandrill 1.0.29: A CLI client and Python API library for the Mandrill email as a service platform. http://bit.ly/161vNVJ
APP	Mandrill API – An alternate to SMTP and SendMail Email Transport: We live in the world where Cloud Computing a... http://bit.ly/12ThlLY
APP	Mandrill Template design and strategy implementation by eshuys http://bit.ly/ZTBpwt #freelance
APP	Mandrill Template design and strategy implementation by eshuys: Hi there, I have just had... http://bit.ly/125h1bH #freelance #jobs
APP	Mandrill Webhooks #Interspire For Bounce Processing Integration by sanu1255… http://goo.gl/fb/XOPpn #freelance #job
APP	Mandrill Webhooks Interspire For Bounce Processing Integration by sanu1255 http://bit.ly/118ybVg #Job #career #freelance
APP	mandrill-api (1.0.19): http://npmjs.org/package/mandrill-api … The official API client for the Mandrill email as a service product.
APP	mandrill-api (1.0.25): http://is.gd/wKfRyo A Ruby API library for the Mandrill email as a service platform.
APP	mandrill-rails (0.0.4): http://is.gd/nobiJe Rails integration for Mandrill
APP	Measuring Transactional Email Performance with Mandrill - http://goo.gl/qaGX2
APP	Modules Unraveled: 053 Using Mailchimp and Mandrill to Send Newsletters in Drupal with Lev T... http://bit.ly/148Jf4M via @DrupalPlanet
APP	Modules Unraveled: 053 Using Mailchimp and Mandrill to Send Newsletters in Drupal with Lev Tsypin - Mo... http://bit.ly/YO8iuu #drupal
APP	Modules Unraveled: 053 Using Mailchimp and Mandrill to Send Newsletters in Drupal with Lev Tsypin - Modules Un... http://bit.ly/XrAhyS
APP	New from @ChrisLema: Newsletters in WordPress Use SendGrid or Mandrill http://ht.ly/2wtD1T
APP	Newsletters in WordPress - Use SendGrid or Mandrill http://goo.gl/KMGdg via @chrislema
APP	Newsletters in WordPress – Use SendGrid or Mandrill: If you're pushing out newsletters in WordPress? Here are ... http://clema.cc/ZET0L3
APP	Nice.. http://www.mandrill.com
APP	Ótima ferramenta para envio de e-mails automáticos em sistemas (confirmação, esqueci senha, notificações...): http://mandrill.com
APP	Our love affair with transaction emails from CritSend to SendGrid to Mandrill: When we started edocr.co... http://bit.ly/10cOuon #edocr
APP	Our new subscriber profile page: activity timeline, aggregate engagement stats, and Mandrill integratio #BJCBranding http://bit.ly/13waU5c
APP	Parse Partners with MailChimp to Bring Power of Mandrill Email API to Parse-Powered Apps http://bit.ly/UNtj4n 
APP	progress, of a sort :/ http://jsfiddle.net/mandrill/GAwTw/2/ … I'm thinking an array might be needed, was trying to avoid :/ #javascript
APP	Psyched that @MailChimp just dropped the prices of Mandrill (their SendGrid Amazon SES competitor). Ready to rock http://blog.mailchimp.com/unifying-mandrill-and-mailchimp-data/ …
